Gene ID	Gene Name	condition1.foldChange	condition1.pValue	condition2.foldChange	condition2.pValue	condition3.foldChange	condition3.pValue	condition4.foldChange	condition4.pValue	condition5.foldChange	condition5.pValue	condition6.foldChange	condition6.pValue
ENSG00000000003	TSPAN6	0.4	0.00568955757165279	0.5	1,14E+09	0.4	0.00511890658651995	0.3	0.315795447506271	0.4	0.397533209526708	0.2	0.305864987433133
ENSG00000000005	TNMD	01.Mar	8,10E+06	01.Mar	2,20E+07	01.Jan	7,44E+09	0.5	0.447754056151386	01.Jan	0.251945245407676		
ENSG00000000419	DPM1			0.1	0.361206842845239	0.1	0.296254821956661	0.1	0.51013292963035	0.2	0.624500982570414	0.1	0.270718647165309
ENSG00000000457	SCYL3	-0.1	0.00213811137679577	-0.1	0.034324964036928			-0.1	0.462222268845754	-0.3	0.194731162706006	-0.2	0.10757463598026
ENSG00000000460	C1orf112					0.2	0.13157103877993	-0.1	0.669378053719184	0.2	0.685365360762281	-0.1	0.599599182815428
ENSG00000000938	FGR	01.Jul	7,13E-05	0.8	1,46E+08	1.0	1,39E+08	0.3	0.542628009418107	02.Feb	1,93E+07	0.3	0.364685082695927
ENSG00000000971	CFH	0.5	3,50E+08	0.3	0.0148748309686316	0.4	0.0090643641175737	0.2	0.597484201208322	0.4	0.364669125579349		
ENSG00000001036	FUCA2	-0.1	0.155654428597995	-0.1	0.661088838863469	-0.1	0.681808752365155	-0.1	0.891716007179562	0.3	0.456580917744112		
ENSG00000001084	GCLC	-0.4	9,83E+07	-0.1	0.147751253389302	-0.1	0.656299044671862			-0.5	0.195958580686554	-0.1	0.530763808593633
ENSG00000001167	NFYA	0.1	0.359859950372588			0.2	0.135977114809708			0.1	0.83272711126769		
ENSG00000001460	STPG1	-0.4	3,98E+09	-0.3	0.0139074258027626	-0.3	0.0844445120462283	-0.1	0.643221182556338	-0.4	0.344346478323892		
ENSG00000001461	NIPAL3	-0.5	4,75E-04	-0.3	4,23E+06	-0.3	0.00142057518812718	-0.2	0.175699140406332	-0.7	1,12E+10	-0.1	0.400271764282425
ENSG00000001497	LAS1L	-0.1	0.0976205153553696	-0.1	0.111470965840475			-0.1	0.585930308619582	0.1	0.751918412765292		
ENSG00000001561	ENPP4	-0.1	0.420721944141153	0.1	0.62217451203276	0.2	0.344228756449703	0.1	0.732881220879641	-0.2	0.707328042329496	0.1	0.432428905848953
ENSG00000001617	SEMA3F	0.3	0.0346271972511051	0.1	0.328605438664251			0.1	0.819922921931096	0.5	0.407713071201189	0.1	0.769951562839635
ENSG00000001626	CFTR	0.2	0.440926324698773	0.1	0.561480655190553	0.4	0.122030628463267	0.2	0.521030507564867	0.1	0.86958954404461		
ENSG00000001629	ANKIB1	-0.1	0.381713315866251			0.1	0.393898100139679	0.1	0.813576127016646	-0.3	0.549771599937276		
ENSG00000001630	CYP51A1					0.3	0.304063070747065	0.2	0.799306850346365	-0.1	0.909185494979938		
ENSG00000001631	KRIT1	-0.1	0.378261665723546	-0.1	0.388842567089897	0.1	0.720721684388832	0.1	0.92717384183498	-0.4	0.546390078983209		
ENSG00000002016	RAD52	-0.2	0.0126128675237624	-0.2	0.0212936478762668	-0.2	0.13086219158896			-0.4	0.2628220392582		
ENSG00000002079	MYH16	0.7	0.0802846233953791	0.3	0.48894890902803					01.Jan	0.465555786369876	0.2	0.725000937278908
ENSG00000002330	BAD	-0.2	0.199096479016342			-0.4	0.0475364953600012	-0.1	0.830382880214512	0.2	0.857283764100225	0.1	0.683906348712111
ENSG00000002549	LAP3	01.Feb	1,53E-12	0.9	4,09E+00	1.0	6,95E+03	0.4	0.132001439399606	1.0	0.00768244599975377	0.2	0.324756713172048
ENSG00000002586	CD99	-0.3	0.01360786783786	-0.2	0.159831008565556	-0.4	0.00475328025023675	-0.2	0.57451037571736	0.1	0.912550742065056		
ENSG00000002587	HS3ST1	0.5	1,14E+05	0.5	5,00E+07	0.4	6,41E+10	0.3	0.316329497377343	0.3	0.459493387723628	0.3	0.0688321911024725
ENSG00000002726	AOC1	-1.1	6,08E+06	-0.7	9,10E+10	-0.7	0.00452265046890314	-0.3	0.53732874465535	-1.5	0.00338774256202874		
ENSG00000002745	WNT16	-0.5	0.00740440139706746	-0.4	0.0819012417201694	-0.2	0.544285425637968	-0.2	0.745718174865167	-1.5	0.0329293870973571	-0.1	0.832905461597602
ENSG00000002746	HECW1	-0.3	0.286774620227078	-0.4	0.127090434366901	-0.5	0.170890521012665	-0.6	0.189862564625879	0.2	0.89951603322826	-0.7	0.0108761816100377
ENSG00000002822	MAD1L1			-0.1	0.746821304551574	-0.2	0.23131287930202	-0.3	0.278039878610712	0.4	0.429202092536874	-0.1	0.629131835346825
ENSG00000002834	LASP1	-0.3	6,17E+10	-0.2	0.0671870478723854	-0.2	0.259996304972545	-0.1	0.76726570387794	-0.6	0.177845570775189		
ENSG00000002919	SNX11	0.1	0.0498497936541433	0.1	0.282260771066098					0.4	0.0107886299685675		
ENSG00000002933	TMEM176A	-0.3	0.0133918218903854	-0.2	0.259572298098967	-0.3	0.126024093107757	-0.1	0.821733171679301	-0.4	0.562542916174174	0.2	0.60308146586301
ENSG00000003056	M6PR	0.4	0.00197280908820545	0.2	0.163952747541647	0.4	0.008723523886378	0.1	0.864071506233094	0.4	0.600509379940486		
ENSG00000003096	KLHL13	-0.7	6,83E+04	-0.4	0.00223491299981931	-0.3	0.0644456553098336	-0.2	0.63361903155783	-1.4	2,50E+10	-0.1	0.745211216842895
ENSG00000003137	CYP26B1	2.0	3,65E-01	0.6	0.00311221932948895	0.7	0.00459656086784815	0.2	0.556009921367083	01.Jan	0.0407414766812642	0.1	0.747480698196869
ENSG00000003147	ICA1	0.2	0.0864863452048258	0.2	0.0362774979675339	0.1	0.715050384043616	0.1	0.851151526053902	0.1	0.856558861591294	0.2	0.283580832444142
ENSG00000003249	DBNDD1	0.7	7,80E+09	0.5	0.00616439232562932	0.4	0.0964229153074085	0.3	0.527871201988275	01.Feb	0.0162454491287076	0.3	0.220376027060574
ENSG00000003393	ALS2	-0.3	2,64E+10	-0.1	0.121703360667558	-0.1	0.461063678260164	0.1	0.848174711714004	-0.7	0.0145550987293538		
ENSG00000003400	CASP10	0.6	2,23E+05	0.5	1,66E+08	0.6	2,37E+10	0.3	0.357185909786773	0.6	0.230351025930135	0.4	0.0208710932769221
ENSG00000003402	CFLAR	0.3	0.0179903728675389			0.2	0.166875168874018			0.4	0.345891385281849		
ENSG00000003436	TFPI	0.1	0.339894610986097	0.1	0.279761453827852					-0.4	0.184625218369307	-0.1	0.430687560073548
ENSG00000003509	NDUFAF7	-0.2	0.00454608033407543	-0.2	0.0150189863329289	-0.1	0.333687302093948	-0.1	0.756241018058834				
ENSG00000003756	RBM5	-0.2	0.00960417716951116	-0.2	0.0284485617834183	-0.1	0.364851990877029			-0.3	0.529078434726417	-0.1	0.713651932361907
ENSG00000003987	MTMR7	-0.2	0.0701066791800336			-0.1	0.44537768500043			-0.2	0.714231202194606		
ENSG00000003989	SLC7A2	0.1	0.546664502236642	0.1	0.380051728468958	0.3	0.041339544711308	0.1	0.76944905132075				
ENSG00000004059	ARF5			0.1	0.690741570722449	-0.1	0.38669007933228			0.4	0.433395467658028	0.1	0.510349936760875
ENSG00000004139	SARM1	-0.3	7,10E+10	-0.2	0.0489920199352401	-0.1	0.466654344063422	-0.1	0.834961121849132	-0.5	0.25919646522729		
ENSG00000004142	POLDIP2	-0.1	0.156352672929746							0.1	0.885706030920845	0.1	0.508206004649438
ENSG00000004399	PLXND1	0.9	9,54E-01	0.5	3,93E+09	0.5	0.00187181430520646	0.2	0.634332683502883	01.May	4,79E+08		
ENSG00000004455	AK2	-0.3	4,75E+09	-0.2	0.00943379580577092	-0.2	0.0575216038149472	-0.1	0.841305119771787	-0.2	0.53313336218819		
ENSG00000004468	CD38	0.8	5,85E+05	0.4	0.0152219993569558	0.5	0.0256289851484502	0.1	0.833761842624692	0.9	0.135339624926429	-0.1	0.911782988490693
ENSG00000004478	FKBP4	-0.1	0.346810008581637			-0.1	0.282171310637898	-0.2	0.437505903239678	0.2	0.633990977243992	0.1	0.47778647016833
ENSG00000004487	KDM1A	-0.3	5,71E+09	-0.2	0.0166748536058877	-0.2	0.104833585219895	-0.1	0.638777923993743	-0.1	0.822910294921796	-0.2	0.108580839038016
ENSG00000004534	RBM6	-0.2	0.0387482203231941	-0.3	0.0215111230143423	-0.2	0.345489958580613	-0.1	0.887236857162216	-0.6	0.210366294664427	-0.1	0.751305420724925
ENSG00000004660	CAMKK1	0.4	8,45E+04	0.3	2,86E+10	0.2	0.0591000243035892	0.2	0.336202828627396	0.4	0.190230166624099	0.1	0.400092271013097
ENSG00000004700	RECQL	0.3	0.0822119059451966	0.1	0.620221690446034	0.4	0.0494622424488672	-0.1	0.954338197830809	0.2	0.830854978057915	-0.1	0.829208294581118
ENSG00000004766	VPS50					0.1	0.0900393866783896						
ENSG00000004776	HSPB6	0.3	0.217160294597751	0.1	0.645878155254006	0.1	0.767411412682585	0.3	0.497330124655023	-0.1	0.879538038878448		
ENSG00000004777	ARHGAP33	0.1	0.63792323724199					0.2	0.764312540038926				
ENSG00000004779	NDUFAB1	-0.4	0.00529186859184908	-0.2	0.454217802365729	-0.5	0.0405561031654815	-0.1	0.860220655483703				
ENSG00000004799	PDK4	-1.0	2,00E+06	-0.3	0.164770754760279	-0.2	0.492991589136181	-0.7	0.0077838833750681	-2.3	4,73E+09	-0.3	0.400392178841683
ENSG00000004809	SLC22A16	01.Jun	1,93E+09	0.7	0.130024118900732								
ENSG00000004838	ZMYND10	-0.2	0.330462641664614	-0.3	0.264139632305679	-0.3	0.23884611691862			-0.3	0.753875557014952	-0.1	0.811995875342001
ENSG00000004846	ABCB5	-0.7	0.00288448876014557	-0.6	0.0193931392669176	-0.8	0.0230424232046674	-0.4	0.558040419039846	-0.8	0.497541454852546	-0.6	0.0486940603680537
ENSG00000004848	ARX	0.2	0.267477136548693	0.3	0.120789159617906	0.1	0.683579335398935	0.3	0.559911799614148	-0.9	0.2210551950037	0.1	0.812760651663235
ENSG00000004864	SLC25A13									0.1	0.92796342408366		
ENSG00000004866	ST7	0.2	9,16E+08	0.2	5,25E+10	0.2	0.0478649916816483	0.1	0.62744694126122	0.1	0.763466768993157	0.1	0.229129227007127
ENSG00000004897	CDC27	0.1	0.00551427145690448	0.1	0.018814770148661	0.2	0.00378924369345218			0.3	0.18302223488186	-0.1	0.607068647670525
ENSG00000004939	SLC4A1	-0.4	0.121885567162431	-0.4	0.101790627593519	-0.7	0.0516501249579781	-0.4	0.489467966944144	-0.6	0.655584593909591	-0.4	0.175124370452858
ENSG00000004948	CALCR	-1.2	2,05E+08	-0.8	0.00137671643720227	-0.5	0.127443754110297	-0.1	0.951302680396704	-1.6	0.108679924407406	-0.5	0.15471859383015
ENSG00000004961	HCCS	-0.1	0.109742677136872									0.1	0.527925769951796
ENSG00000004975	DVL2	-0.1	0.179188827612654			-0.1	0.461980633964596			-0.1	0.739947628710115		
ENSG00000005001	PRSS22	02.Mar	6,47E-12	01.May	1,17E+03	2.0	4,17E+02	1.0	0.00168229763911122	03.Apr	2,60E-01	01.Feb	2,49E+08
ENSG00000005007	UPF1	0.1	0.382291864369569							0.1	0.81994696929372	0.1	0.550962797618583
ENSG00000005020	SKAP2					0.1	0.55176221909505			-0.3	0.421598287404912		
ENSG00000005022	SLC25A5	-0.5	6,64E+10	-0.2	0.126317981895412	-0.3	0.207486124600024	-0.1	0.857298643256444	-0.7	0.286352551963633	0.1	0.829208294581118
ENSG00000005059	MCUB	0.1	0.342932631419282	0.1	0.464964411650447	0.1	0.547468485474443			0.6	0.266558257972984		
ENSG00000005073	HOXA11	01.May	3,86E+08	01.Jan	6,31E+10	01.Feb	0.0010519936395379	-0.1	0.907614126004313	04.Feb	2,56E+01	0.3	0.508206004649438
ENSG00000005075	POLR2J	-0.3	0.0874049860536862	-0.1	0.657796227580609	-0.6	0.0106323390950035	-0.1	0.902005164828826	0.2	0.82227019018025		
ENSG00000005100	DHX33			-0.1	0.441547436181315	0.1	0.481412600460492					-0.1	0.749339626239102
ENSG00000005102	MEOX1	01.Apr	8,66E-03	0.8	8,17E+08	0.8	0.00102592406638659	0.2	0.684211747935693	2.0	2,93E+08	0.1	0.747991757291631
ENSG00000005108	THSD7A	0.5	0.0061559396954392	0.2	0.304510071780005	0.3	0.278677357332518	0.1	0.82996520091594	0.8	0.280761624361291	-0.2	0.662998667280497
ENSG00000005156	LIG3					0.1	0.188197693848183			0.1	0.89067282052321		
ENSG00000005175	RPAP3	-0.1	0.00667492292423948	-0.1	0.149907709927609	0.1	0.217507993499869	-0.1	0.482087410058765	-0.1	0.772230351626185	-0.1	0.242301362282685
ENSG00000005187	ACSM3	0.1	0.432694155225174	0.1	0.598233533505556	0.2	0.259643785399597			0.4	0.216251130778237	0.1	0.509088768615018
ENSG00000005189	REXO5			0.1	0.546915882160259					-0.1	0.816929112111678	-0.1	0.515773218066605
ENSG00000005194	CIAPIN1	0.1	0.14113109983414	0.1	0.375373395524375	0.1	0.272846762445973			0.4	0.0527360635206116	0.1	0.395644802546097
ENSG00000005206	SPPL2B	-0.3	0.0082259911526411	-0.2	0.0792731763192055	-0.3	0.0405886687829219			-0.3	0.41078856206298		
ENSG00000005238	FAM214B	0.5	2,76E+05	0.2	0.00333547845412398	0.3	0.0125393050571673	0.1	0.597484201208322	01.Feb	5,98E+04	0.2	0.140626956989988
ENSG00000005243	COPZ2	0.8	8,74E+05	0.5	7,39E+10	0.1	0.705482016260569	0.1	0.804592714549849	01.Jul	3,86E+09	0.1	0.796225865428287
ENSG00000005249	PRKAR2B	0.7	2,36E+03	0.6	7,98E+07	0.7	2,99E+08	0.3	0.266300684895363	1.0	0.0134105070145745	0.2	0.500426447866069
ENSG00000005302	MSL3	0.1	0.336688098249654			0.1	0.739929300801973	-0.1	0.776018287651771	0.3	0.518053339823641	-0.1	0.698444908028073
ENSG00000005339	CREBBP	-0.2	0.0238356716983459	-0.2	0.0924974558609604			-0.1	0.84898508965947	-0.4	0.236070335279465	-0.1	0.588498038821423
ENSG00000005379	TSPOAP1	-0.4	0.00886427322776001	-0.3	0.0720570157100739	-0.1	0.645101760093399			-0.8	0.242127954131601		
ENSG00000005381	MPO	01.Feb	6,61E+07	01.Feb	2,23E+09	01.Mar	4,19E+10	0.3	0.596073464251775	03.Sep	6,96E+06	-0.2	0.698821379681144
