Gene ID	Gene Name	Design Element	condition1.foldChange	condition1.pValue	'acute DSS-induced colitis; 1x DSS, no recovery' vs 'none; none'.tStat	condition2.foldChange	condition2.pValue	'chronic DSS-induced colitis; 1x DSS, recovery' vs 'none; none'.tStat	condition3.foldChange	condition3.pValue	'chronic DSS-induced colitis; 2x DSS, additional recovery' vs 'none; none'.tStat	condition4.foldChange	condition4.pValue	'chronic DSS-induced colitis; 2x DSS, recovery' vs 'none; none'.tStat	condition5.foldChange	condition5.pValue	'chronic DSS-induced colitis; 3x DSS, recovery' vs 'none; none'.tStat
ENSMUSG00000000003	Pbsn	10605475													0.1	0.424555756463058	1.05880910894998
ENSMUSG00000000028	Cdc45	10438378	0.4	0.0406429987489785	2.89140003758398	0.2	0.191089208236126	1.9290504995544	0.2	0.275861217137269	1.49787300332196	0.1	0.337500427610139	1.3865742587482	0.1	0.674567814117505	0.576195665315542
ENSMUSG00000000037	Scml2	10602977	-0.4	0.00681597954152286	-4.30835218462504	-0.4	0.00188768714215757	-5.42174684637836	-0.5	3.01687978719831E-4	-7.72908950804342	-0.3	0.0217735268187384	-3.44643831497938	-0.3	0.0376273957280017	-2.95587903884772
ENSMUSG00000000049	Apoh	10382189	0.1	0.514278831456356	0.88346969819192	0.1	0.631601710211219	0.800791437516868	0.1	0.342479595836624	1.30898753032838	0.1	0.705414129498317	0.602109151807824	0.2	0.270403201263796	1.45628097314778
ENSMUSG00000000056	Narf	10383532	-0.2	0.116865814099827	-2.10714244238992				-0.2	0.156127373162165	-1.95877745370243	-0.1	0.737038170859805	-0.538529252811078	-0.1	0.619659163661652	-0.674292964306425
ENSMUSG00000000058	Cav2	10536494	-0.7	0.00290993625904374	-5.13040308347999	-0.2	0.256064421199529	-1.69545407880184									
ENSMUSG00000000078	Klf6	10403352	-0.1	0.711265313207815	-0.515268665472812							-0.1	0.205100083067298	-1.80522014685557			
ENSMUSG00000000085	Scmh1	10507699	-0.2	0.38427175545091	-1.16373537301065												
ENSMUSG00000000088	Cox5a	10585706	0.1	0.703211868626119	0.530277363869727												
ENSMUSG00000000093	Tbx2	10379936				0.2	0.0404927451520391	3.06284568640413	0.3	0.00418412237720511	4.8807716198831	0.3	0.00347520351960786	4.79825737722371	0.4	0.00244563497954599	5.2078493580065
