Gene ID	Gene Name	condition1.foldChange	condition1.pValue	condition2.foldChange	condition2.pValue	condition3.foldChange	condition3.pValue	condition4.foldChange	condition4.pValue	condition5.foldChange	condition5.pValue	condition6.foldChange	condition6.pValue
ENSG00000000003	TSPAN6	-0.5	0.202269412580582	-0.1	0.954022200931136	-0.7	0.0218198521568594	-0.1	0.575717798077636	-0.2	0.550615530303102		
ENSG00000000005	TNMD	-1.3	0.107053158674214	-0.1	0.978190492930248	-0.7	0.430151989468728	-0.6	0.144713766232188	0.8	0.216106431083819	-0.2	0.692828564109577
ENSG00000000419	DPM1	0.6	0.362404350176039			0.4	0.301474357149157	0.3	0.00248468143720255	-0.2	0.714506808105689	0.4	0.00358717667993802
ENSG00000000457	SCYL3	0.5	0.54722244568456	0.1	0.994878661896137	-0.4	0.491688181362506			-0.9	0.08667486095205	-0.1	0.608185485578274
ENSG00000000460	C1orf112			-0.1	0.999871213639684			-0.5	0.221343665856068			-0.4	0.372799294090168
ENSG00000000938	FGR	2.6	3.47252949674996E-8			3.4	1.41837067044953E-12	0.3	0.386171137347797	0.6	0.340494271700726		
ENSG00000000971	CFH	1.3	0.00498207546751139			0.7	0.098370070640888			-0.5	0.248195200427676		
ENSG00000001036	FUCA2	0.3	0.422191218329022	0.1	0.852830946547047	0.1	0.600798859033865	0.1	0.377734891848903	-0.1	0.620553147066551		
ENSG00000001084	GCLC	0.4	0.322401469787993	0.1	0.999871213639684	-0.5	0.0570504030867254	0.1	0.736850178324944	-0.8	0.00178568876539976		
ENSG00000001167	NFYA	0.6	0.345610027117175	-0.1	0.999871213639684	0.5	0.184045833436336	0.4	0.00431966567515339	-0.1	0.936031156103321	0.5	0.00163518369935826
ENSG00000001460	STPG1	-0.9	0.0506182047846417			0.1	0.836609060403628	0.1	0.869338811930216	1.0	0.0050694731574524	0.1	0.753982934297417
ENSG00000001461	NIPAL3	-0.6	0.0232035797432418			0.3	0.253273778195281	0.4	9.29791269165182E-5	0.9	7.15557263321477E-7	0.4	2.51025709329469E-5
ENSG00000001497	LAS1L	0.6	0.109996618479501	0.1	0.96861815566102	0.4	0.267657467632853			-0.2	0.647975452420993	-0.1	0.318362090442617
ENSG00000001561	ENPP4	0.3	0.410107279625897	-0.1	0.999871213639684	0.5	0.0591244291978114	0.4	0.00478415950196241	0.2	0.577557314644127	0.5	2.63231755943807E-4
ENSG00000001617	SEMA3F			0.2	0.836555416196036	1.4	0.0283205232685199	0.5	0.024758370146233	1.2	0.0445624689184122	0.2	0.47355052454059
ENSG00000001626	CFTR	-1.1	1.81801869286937E-4	-0.2	0.894619836128326	-1.0	2.13176161829004E-5	-0.2	0.269463656435831	0.2	0.509710053119347		
ENSG00000001629	ANKIB1	0.3	0.48445981915399			-0.2	0.578999743368439	-0.1	0.528188428138807	-0.4	0.0928105142977682	-0.1	0.677426641642881
ENSG00000001631	KRIT1	-0.5	0.474511928549416	-0.2	0.94185314907025	0.7	0.0818170797253618	0.2	0.210154781476511	1.1	0.0160627438339212	0.4	0.0244349902952508
ENSG00000002016	RAD52	-0.6	0.381871487473892	-0.1	0.999871213639684	-1.0	0.0331691431845118	-0.1	0.843458512967725	-0.4	0.446574859269646		
ENSG00000002079	MYH16			-0.2	0.963576297210532							0.3	0.501836044152241
ENSG00000002330	BAD	-0.8	0.0757945686982268	-0.1	0.999871213639684	-1.2	2.58522372883709E-5	-0.2	0.21808284792942	-0.3	0.436403584564314	-0.1	0.644138757121028
ENSG00000002549	LAP3	0.8	1.50767997167775E-4	0.2	0.885589097030364	2.0	4.33854784284141E-20	0.5	0.00279575880258907	1.2	1.36770687913355E-8	0.3	0.094802219233951
ENSG00000002586	CD99	-0.2	0.499635530869133	-0.1	0.975188546770716	-0.4	0.0369940138793913	-0.2	0.117466630869244	-0.2	0.391380469727325	-0.1	0.597630480550315
ENSG00000002587	HS3ST1	1.3	0.00821649467751622	0.1	0.999871213639684	1.1	0.0118274440173003	0.2	0.478586582720232	-0.2	0.664469107504462	0.1	0.838585343379978
ENSG00000002726	AOC1	-0.9	0.0353854201799862	-0.1	0.995734224585591	-2.3	9.82601362293443E-13	-0.9	2.2092067771159E-4	-1.3	1.56846945938932E-10	-0.7	0.00283451115860727
ENSG00000002822	MAD1L1	0.5	0.540820409790478	-0.1	0.995734224585591	-0.1	0.927294869528529	-0.2	0.456629753334623	-0.5	0.354213042435942		
ENSG00000002834	LASP1	-0.5	0.390539666811534					0.8	4.10905384673713E-4	0.5	0.154607936559287	0.7	6.52424796957602E-5
ENSG00000002919	SNX11	0.1	0.903030268799623	0.1	0.922126436433297	0.9	1.64188949304098E-4	0.5	3.9923602627434E-5	0.8	2.37882921454249E-4	0.4	0.00126876052618764
ENSG00000002933	TMEM176A	-0.1	0.909025911259186	-0.3	0.546791718018419	-1.4	2.28585821767139E-16	-0.8	7.25443314889035E-4	-1.3	8.67431699104811E-15	-0.5	0.0800386729437947
ENSG00000003056	M6PR	0.4	0.595243160302862	0.1	0.999871213639684	1.3	0.0108445088294989	0.8	5.10787801193407E-4	0.7	0.273830645590059	0.7	0.00274080971806939
ENSG00000003096	KLHL13	-0.9	0.358272323354434	-0.1	0.999871213639684	-1.1	0.195437357092628	0.5	0.184246504314596	0.1	0.945615515327297	0.6	0.0828043583273054
ENSG00000003137	CYP26B1	0.7	0.550349114571999	0.1	0.999871213639684	1.2	0.190241494217062	0.7	0.0847525342817676	0.1	0.895693391732533	0.5	0.187446191045132
ENSG00000003147	ICA1	-0.1	0.845337250166708			-0.4	0.220320709989734			-0.3	0.364340824162624	0.1	0.652803987243083
ENSG00000003249	DBNDD1	0.1	0.93981816250226			-0.5	0.675971489598485	-0.3	0.278177905724616	-0.4	0.621829303713033	-0.2	0.452591882035801
ENSG00000003393	ALS2	1.4	0.00180096365553513	-0.1	0.985569495394219	1.4	8.9855842762064E-4	0.3	0.0346837938008148	-0.1	0.947764882408543	0.4	0.00499191114419232
ENSG00000003400	CASP10	0.7	0.0183245164068113	0.4	0.317943688152942	1.5	5.47612600969088E-11	0.6	0.056796669735772	0.7	0.00159175960623338		
ENSG00000003402	CFLAR	0.3	0.403422046680687			0.3	0.253956572257176	-0.2	0.283501373034576			-0.2	0.280302003971107
ENSG00000003436	TFPI	1.7	8.9620630487863E-5	-0.2	0.947234998619175	1.6	2.3804924485576E-5	-0.8	0.0124484092150354	-0.1	0.848512780063177	-0.4	0.211484850682048
ENSG00000003509	NDUFAF7	-0.1	0.847287123188102			-0.4	0.3378444230557	0.1	0.789273182486823	-0.2	0.684510013958033	0.1	0.79492654133773
ENSG00000003756	RBM5	0.2	0.459112728392381			0.5	0.0381820719725474	0.4	0.00124443385351511	0.3	0.334297781191478	0.3	0.0105741508945474
ENSG00000003987	MTMR7	0.2	0.87414654975917			0.1	0.939026860496989	-0.4	0.439632832069799	-0.1	0.911222901108402	-0.3	0.565660795075639
ENSG00000003989	SLC7A2	0.8	0.390482790762098	0.2	0.995734224585591	2.0	0.0122345205660266	0.9	8.96195414621623E-4	0.8	0.310908049018372	0.7	0.0131317070790412
ENSG00000004059	ARF5	0.1	0.964269644920055			1.5	0.147626628750916	0.2	0.631664340915809	1.0	0.168133855071502	0.2	0.703971237790048
ENSG00000004142	POLDIP2	-0.1	0.896018640270405			-0.3	0.176445494959698	-0.3	1.54929092268552E-5	-0.2	0.477939614955661	-0.3	2.12750806718199E-7
ENSG00000004399	PLXND1	1.3	0.00195374638235668	0.2	0.867107532143333	1.9	1.94808610803231E-7	0.3	0.507146995600669	0.6	0.202874866029043	-0.1	0.780907633944563
ENSG00000004455	AK2	-0.4	0.0779925005111176	-0.1	0.809309754721633	-0.7	3.22706337124448E-6	-0.4	1.69196805015449E-7	-0.3	0.039013675942317	-0.3	2.41666179129213E-4
