Gene ID	Gene Name	Design Element	condition1.foldChange	condition1.pValue	'active ulcerative colitis' vs 'normal' in 'caecum'.tStat	condition2.foldChange	condition2.pValue	'active ulcerative colitis' vs 'normal' in 'left colon'.tStat	condition3.foldChange	condition3.pValue	'active ulcerative colitis' vs 'normal' in 'rectum'.tStat	condition4.foldChange	condition4.pValue	'active ulcerative colitis' vs 'normal' in 'transverse colon'.tStat
ENSG00000000003	TSPAN6	17112607				-1.1	0.0225256817936015	-3.63058694501692	-1.1	0.00122563841867123	-7.45461672563405			
ENSG00000000005	TNMD	17105321				-0.4	0.268435449297565	-1.46864152571074				0.3	0.324863262660991	1.39742423399714
ENSG00000000419	DPM1	16920287				0.5	0.0726395675092535	2.54297264186255				0.3	0.293937130323408	1.50159334676906
ENSG00000000938	FGR	16684056				0.6	0.0190888707388498	3.81132755953834				0.4	0.376968874837354	1.25209548363154
ENSG00000000971	CFH	16675398				0.8	0.00452245463498772	5.61701825810548	0.4	0.249853478996611	1.59960928015949	0.7	0.0973272886284185	2.54302432876463
ENSG00000001460	STPG1	16683574				-0.4	0.118787596738752	-2.13665545602531						
ENSG00000001617	SEMA3F	16940924				0.3	0.223154686896296	1.62390450313753				0.3	0.330365689048661	1.3821738781758
ENSG00000001626	CFTR	17050697				-1.3	0.00588874065225371	-5.23318231219759	-1.1	0.0212357738116181	-3.77645638574941	-0.7	0.106458174353401	-2.46338744083487
ENSG00000002549	LAP3	16965313				1.0	0.00765201319456852	4.87387480255583	1.0	0.0238930107555841	3.66020905482827	0.6	0.194283541731674	1.88832018810775
ENSG00000002726	AOC1	17053436				-0.3	0.240447974552032	-1.56333957965687						
ENSG00000003147	ICA1	17055216				-0.3	0.397803113802105	-1.11832465890607						
ENSG00000003400	CASP10	16889455				0.5	0.0548213820184529	2.78781893110831	0.7	0.0172576941306759	3.99393733194492			
ENSG00000003436	TFPI	16906308				1.0	0.0119011199807707	4.3253114147347	0.7	0.0414693238760941	3.14388634535248	0.8	0.015874199464378	4.78850180746968
ENSG00000003756	RBM5	16940877				-0.5	0.0359274849247151	-3.16766895497336						
