Gene ID	Gene Name	Design Element	condition1.foldChange	condition1.pValue	'Crohn's disease' vs 'normal'.tStat	condition2.foldChange	condition2.pValue	'ulcerative colitis' vs 'normal'.tStat
ENSG00000000003	TSPAN6	39361_f_at	-0.7	0.0788017607210692	-2.71140781529208	-1.1	0.0306836005098336	-3.63921067314334
ENSG00000000419	DPM1	34879_at	-0.2	0.713176987240115	-0.571138303084589	-0.6	0.219826755028991	-1.75146967591341
ENSG00000000457	SCYL3	41329_at	-0.1	0.649618771960158	-0.702180868886314	-0.3	0.19075717213925	-1.88277032015312
ENSG00000000971	CFH	32250_at	-0.7	0.0539689806603907	-3.01388567185075	-0.6	0.0280762368447733	-3.7387065557324
ENSG00000001084	GCLC	31850_at	-0.5	0.0476182661919798	-3.11689633858978	-0.3	0.109148675908078	-2.40464978899319
ENSG00000001461	NIPAL3	37850_at				-0.3	0.0936986834249677	-2.54125273112215
ENSG00000001497	LAS1L	38260_at	0.1	0.683272209426519	0.63389765172762	0.2	0.275198801173895	1.54126396719463
ENSG00000001561	ENPP4	36459_at	-0.5	0.0674905734319141	-2.8190640595286	-0.7	0.00629792889641764	-5.49511497620688
ENSG00000001617	SEMA3F	35666_at	0.1	0.725224843623851	0.545085417716297	-0.1	0.777927084229469	-0.415978484354289
ENSG00000001626	CFTR	36816_s_at	-0.5	0.085397575740505	-2.63410823618759	-0.6	0.201387112677906	-1.83492449129636
ENSG00000002016	RAD52	40744_at	-0.1	0.43429555196791	-1.16066663960827			
ENSG00000002330	BAD	1861_at	-0.1	0.623263717572849	-0.75797878256309	-0.3	0.14693248209397	-2.13199558605197
ENSG00000002586	CD99	41138_at	0.6	0.0692276801895888	2.80177588325744	0.7	0.0283377339363112	3.72583476084251
ENSG00000002726	AOC1	37186_s_at	0.2	0.702776622443533	0.593102175560749	-0.3	0.420180657256623	-1.12626857276725
ENSG00000003147	ICA1	32634_s_at	0.1	0.568027034811692	0.863981752140162			
ENSG00000003400	CASP10	1326_at	0.6	0.0750635654825119	2.74715492036092	0.5	0.0125469800022546	4.67336030871858
ENSG00000003402	CFLAR	1867_at	0.1	0.667629242019094	0.6678894006926	0.1	0.853096486350526	0.285844782453332
ENSG00000003436	TFPI	40767_at	-0.2	0.620888884805685	-0.762352867566224			
ENSG00000004139	SARM1	41707_at	0.2	0.200975319828448	1.88611218060974			
ENSG00000004399	PLXND1	38671_at				0.3	0.156156767652003	2.06427737902514
ENSG00000004455	AK2	40788_at	0.1	0.743065679340922	0.50541577804498			
ENSG00000004468	CD38	40323_at	0.1	0.627865938169961	0.749357210950162	0.3	0.190768072527245	1.88249581663915
ENSG00000004478	FKBP4	38729_at	0.1	0.558615791726477	0.881365993840446	0.1	0.809795248099076	0.358981800782597
ENSG00000004487	KDM1A	41122_at	-0.1	0.562944467269835	-0.872249671412262			
ENSG00000004534	RBM6	40870_g_at	0.5	0.0595940792724696	2.92183320967813	0.7	0.00847105250780226	5.13525335269038
ENSG00000004700	RECQL	34684_at	-1.0	0.0146663744496467	-4.03181544389328	-1.0	0.12390859611555	-2.28541618207924
ENSG00000004777	ARHGAP33	35445_at	-0.1	0.502182149831507	-0.998748150810932	-0.2	0.422643146859128	-1.11885380206426
ENSG00000004779	NDUFAB1	35297_at	-0.1	0.612759997673023	-0.777101046122882	-0.3	0.470094060396525	-1.01414730858552
ENSG00000004864	SLC25A13	38328_at	-0.2	0.459683775196457	-1.09795901243968	-0.2	0.615222081558097	-0.717721082776038
ENSG00000004897	CDC27	40591_at	-0.3	0.141177461031108	-2.19008318072471	-0.5	0.0980328599796676	-2.49714095083852
ENSG00000004948	CALCR	36746_s_at				0.1	0.443269234849026	1.0699436108445
ENSG00000005007	UPF1	39404_s_at	0.4	0.0406838215734885	3.29192881972432	0.2	0.135014255151567	2.20522803428663
ENSG00000005020	SKAP2	36091_at				-0.3	0.281973750563282	-1.51868371146088
ENSG00000005073	HOXA11	31669_s_at				0.1	0.627120988699601	0.691516956691013
ENSG00000005075	POLR2J	38055_at	0.1	0.513971466101293	0.973753568740565	0.1	0.744260552979703	0.474589395804222
ENSG00000005102	MEOX1	36010_at	0.3	0.0455125930926158	3.14653092531913	0.5	0.102004592585843	2.46751851886223
ENSG00000005187	ACSM3	33278_at	-0.1	0.711311997720942	-0.57594903989504	-0.5	0.0478949481535803	-3.17893995495382
ENSG00000005194	CIAPIN1	34854_at	0.3	0.0440225260744232	3.17362963246444	0.2	0.189728577547675	1.88676684620294
ENSG00000005249	PRKAR2B	37221_at	-0.4	0.0813448274756313	-2.68296367172454	-0.3	0.322834587270349	-1.38928279171601
ENSG00000005302	MSL3	37974_at	-0.2	0.410547357147326	-1.21742976240476	-0.1	0.653657283286737	-0.641805266816507
ENSG00000005339	CREBBP	33831_at	-0.2	0.297737045901148	-1.52936523063684	-0.3	0.176157986325461	-1.95674472100152
ENSG00000005379	TSPOAP1	34460_at	-0.2	0.172043492313082	-2.02729814029943			
ENSG00000005436	GCFC2	33315_at	-0.3	0.0574861985828378	-2.95315828666716	-0.3	0.0975740517452533	-2.49993547617728
ENSG00000005700	IBTK	36875_at				-0.1	0.794887010965491	-0.385863201189591
ENSG00000005801	ZNF195	41393_at	-0.4	0.0436532825809397	-3.20341087172937	-0.3	0.129415486150385	-2.2466759953775
ENSG00000005810	MYCBP2	39777_at	-0.5	0.0826237389879167	-2.66713030035984	-0.4	0.296737989134806	-1.46606371168422
ENSG00000005882	PDK2	38845_at	0.1	0.648174865477389	0.706683024976595			
ENSG00000005884	ITGA3	884_at	0.2	0.322953818039616	1.4504968970533			
ENSG00000005889	ZFX	38931_at	-0.4	0.0317105783175398	-3.50398552515201	-0.4	0.102232685170883	-2.46600019191356
ENSG00000005893	LAMP2	38403_at	-0.2	0.57520599934299	-0.850754627485221	-0.3	0.416553233328695	-1.13478294383747
ENSG00000005981	ASB4	32996_g_at	0.2	0.16219844198818	2.07111146626049	0.4	0.0249918783592391	3.86720353115732
ENSG00000006007	GDE1	41417_at	0.1	0.664295569652278	0.675280436967022	0.1	0.72926690157451	0.504394637074506
ENSG00000006016	CRLF1	39842_at				0.3	0.102004592585843	2.46759328487718
ENSG00000006062	MAP3K14	974_at	0.3	0.0679363274154958	2.81267403202584	0.4	0.0501728212891535	3.12116343294269
ENSG00000006071	ABCC8	41792_at	0.3	0.0910730076307414	2.57825229289275	0.3	0.132095989613173	2.22807775102861
ENSG00000006125	AP2B1	36161_at	-0.6	0.0401021704968415	-3.3115372427719	-0.8	0.0106700134329362	-4.89091318406467
ENSG00000006194	ZNF263	33289_f_at	0.1	0.694114059914619	0.61237527957524			
ENSG00000006210	CX3CL1	823_at	0.2	0.262373429794683	1.65282492438735	0.4	0.152076051281302	2.09097216058745
ENSG00000006283	CACNA1G	31973_at	0.1	0.685586013040082	0.630830570048106			
ENSG00000006451	RALA	1876_at	-0.4	0.0895962994447506	-2.58779953195299	-0.3	0.202894880093454	-1.82771605352554
ENSG00000006468	ETV1	37156_at	-0.7	8.71276884354366E-4	-6.06064943419935	-0.6	0.0450762162022949	-3.24739307566112
ENSG00000006555	TTC22	35519_at				-0.1	0.650380569191168	-0.647425188822205
ENSG00000006607	FARP2	35188_at	0.1	0.481635544275304	1.04622975214917	0.1	0.596902788635942	0.753150554726019
ENSG00000006625	GGCT	41696_at	0.3	0.150945876422417	2.13309858695329	0.2	0.294918694541977	1.47227148881211
ENSG00000006634	DBF4	31865_at				-0.2	0.116312081376345	-2.34569299458998
ENSG00000006712	PAF1	31866_at	0.4	0.248303195071359	1.69813538590245	0.4	0.0281464283835692	3.73158730348661
ENSG00000006740	ARHGAP44	36556_at				-0.2	0.61741129577475	-0.71313717800895
ENSG00000006744	ELAC2	39367_at	0.2	0.343742321025324	1.39253498319025	0.3	0.124578518936248	2.27731680717161
ENSG00000006756	ARSD	41568_at	-0.2	0.260568678155422	-1.66057055765528	-0.3	0.237473598843907	-1.67936685575872
ENSG00000006757	PNPLA4	35173_at	-0.2	0.337000837665662	-1.41045327471583	-0.3	0.297670271277746	-1.46231600961845
ENSG00000006831	ADIPOR2	39045_at				-0.3	0.246268143166591	-1.64687957230067
ENSG00000007062	PROM1	41470_at	-0.3	0.532393606149994	-0.935310648343399	-0.5	0.415541009435131	-1.13719207489211
ENSG00000007168	PAFAH1B1	32569_at	-0.4	0.178616149183173	-1.99369512825558	-0.5	0.0380968024049407	-3.42069990885271
ENSG00000007171	NOS2	1948_f_at	1.5	0.216026574451395	1.81997771266868	1.3	0.200384375014582	1.84067977903253
