Gene ID	Gene Name	condition1.foldChange	condition1.pValue	condition2.foldChange	condition2.pValue	condition3.foldChange	condition3.pValue
ENSMUSG00000000001	Gnai3	-0.1	0.807212033387991	-0.5	0.0645669548097342	-0.4	0.249451834565093
ENSMUSG00000000028	Cdc45	1.3	4.05365353720694E-4	0.8	0.104796997337559	0.7	0.308398412090547
ENSMUSG00000000031	H19			0.4	0.720524864258806	2.7	0.0193691832497988
ENSMUSG00000000037	Scml2	-0.6	0.453453716383896	-0.6	0.518534273875516		
ENSMUSG00000000049	Apoh					-0.7	0.693458082785047
ENSMUSG00000000056	Narf	-0.8	1.02779410410616E-4	-1.1	7.66667060782128E-6	-2.0	4.59012071128554E-14
ENSMUSG00000000058	Cav2	0.7	0.0131115154379674	0.7	0.0673221677789464	1.4	2.69902542237953E-5
ENSMUSG00000000078	Klf6	-0.6	0.0261545730777978	-1.7	9.2616112013437E-10	-0.5	0.366611767435192
ENSMUSG00000000085	Scmh1	0.3	0.22546904252561	0.4	0.249767856331476		
ENSMUSG00000000088	Cox5a	-0.1	0.741936906067225	0.1	0.851133052699683	-1.6	0.00171721811296924
ENSMUSG00000000093	Tbx2	0.7	0.095261119810243	1.1	0.0160460766624392	2.1	1.09781555620116E-7
ENSMUSG00000000094	Tbx4	0.5	0.598546026296441	-0.2	0.845304680285965	2.3	5.99068682065775E-4
ENSMUSG00000000120	Ngfr	0.2	0.691218150606209	0.9	0.0634188036571021	2.4	8.5650729277831E-6
ENSMUSG00000000126	Wnt9a	0.1	0.859074609425478	-1.1	0.0512709383422688	1.3	0.139085213517335
ENSMUSG00000000127	Fer	0.1	0.873208974441002	-0.3	0.456605134703907	0.4	0.389509606472635
ENSMUSG00000000131	Xpo6	0.2	0.628982395666407	-0.1	0.745757983279187	0.2	0.695590005236309
ENSMUSG00000000134	Tfe3			-0.3	0.357120934753904	0.5	0.0683179642133673
ENSMUSG00000000142	Axin2	0.9	1.64746196401527E-4	1.0	0.00120404030966625	-0.7	0.112813845981805
ENSMUSG00000000148	Brat1	-0.2	0.583800898248573	-0.2	0.60525389444024	-0.5	0.142179965251187
ENSMUSG00000000149	Gna12	-0.1	0.858713221287571	-0.1	0.750216407915079	0.9	0.0199840132175621
ENSMUSG00000000154	Slc22a18	0.3	0.507023407672479	0.4	0.355073334767346	-3.0	1.38341182189089E-7
ENSMUSG00000000157	Itgb2l	-1.3	7.23984478263047E-4	-0.9	0.122539726755198	0.6	0.343035722989949
ENSMUSG00000000159	Igsf5	0.3	0.278375764292156	-0.1	0.862338590185837	-0.8	0.343257276984856
ENSMUSG00000000167	Pih1d2	0.6	0.39571585135632	0.4	0.636302642774185	-0.1	0.948941410415146
ENSMUSG00000000168	Dlat					-0.9	0.00738779574416525
ENSMUSG00000000171	Sdhd	0.1	0.827882088416662	0.3	0.282622690284135	-1.4	6.98263243246647E-5
ENSMUSG00000000182	Fgf23					6.3	6.73157041707451E-7
ENSMUSG00000000184	Ccnd2	0.4	0.23246818047536	-0.4	0.227326767185603	-1.1	0.0902671925850758
ENSMUSG00000000194	Gpr107	-0.2	0.42521747778717	-0.2	0.446743472996422	-0.5	0.0717376572770841
ENSMUSG00000000197	Nalcn	-0.2	0.842359558016884	-0.1	0.951361921632482	2.5	5.01003531535735E-4
ENSMUSG00000000202	Btbd17			0.4	0.664436488485247	1.1	0.60279560595928
ENSMUSG00000000204	Slfn4	0.6	0.0524854738429952	1.1	0.00251065133177753	1.8	0.0162232142291075
ENSMUSG00000000214	Th					2.0	0.23625802962593
ENSMUSG00000000216	Scnn1g	-2.3	1.77499110927705E-11	-4.1	3.5707066895148E-35	-1.4	0.400594570299051
ENSMUSG00000000223	Drp2	0.4	0.658664379429711	0.2	0.876179882999985	2.4	4.06575499716676E-6
ENSMUSG00000000244	Tspan32	0.8	0.338911729734398	1.7	0.00961638570082344	1.8	0.0852996686408887
ENSMUSG00000000247	Lhx2	-1.6	0.0153909865993101	-2.4	6.13397581652046E-4	-3.1	8.73537176768134E-4
ENSMUSG00000000248	Clec2g					3.8	0.0113444186201093
ENSMUSG00000000253	Gmpr	-0.2	0.668692525536243	0.2	0.713791896867746	-0.7	0.23955800696717
ENSMUSG00000000266	Mid2	-0.2	0.420575014636434	-0.5	0.267815801088635	-1.1	7.55776903145022E-5
ENSMUSG00000000275	Trim25	-0.4	0.140236851867074	-0.6	0.105978611471337	-0.3	0.598355594195959
ENSMUSG00000000276	Dgke	-0.6	0.115504696829084	-0.7	0.0558533855490576	-0.2	0.688119765353571
ENSMUSG00000000278	Scpep1	1.1	3.01010434483493E-7	1.2	1.43763667027821E-6	2.3	6.04976999693587E-12
ENSMUSG00000000282	Mnt	0.2	0.736231795082653	-0.1	0.822548630452726	0.4	0.649217661113519
ENSMUSG00000000290	Itgb2	2.0	2.97127308750346E-11	2.2	1.02399677832486E-11	5.1	4.5031557180401E-31
ENSMUSG00000000295	Hddc2	0.7	0.0290669895831315	0.5	0.205556913888609	0.1	0.841145846876685
ENSMUSG00000000296	Tpd52l1	0.3	0.713505209412956	0.2	0.805425165372538	1.7	0.0112978265751075
