Gene ID	Gene Name	Design Element	condition1.foldChange	condition1.pValue	'dextran sodium sulphate induced colitis' at '2 day' vs 'normal' at '0 day'.tStat	condition2.foldChange	condition2.pValue	'dextran sodium sulphate induced colitis' at '7 day' vs 'normal' at '0 day'.tStat
ENSMUSG00000000028	Cdc45	1416575_at	-0.5	0.00834152862428262	-5.10310954196204	-0.1	0.709115014919148	-0.582881475819081
ENSMUSG00000000031	H19	1448194_a_at				1.0	0.0498773292701919	3.25026196780237
ENSMUSG00000000056	Narf	1451678_at				-0.2	0.27667720719055	-1.61829245031815
ENSMUSG00000000058	Cav2	1417327_at	0.4	0.368737856784732	1.81551227817692	-0.5	0.164153108218222	-2.14388290225804
ENSMUSG00000000078	Klf6	1433508_at	-0.2	0.663120855928824	-1.05593572771061	-0.1	0.86013375154822	-0.290430662104319
ENSMUSG00000000085	Scmh1	1426241_a_at				0.2	0.233270864095312	1.79749720771859
ENSMUSG00000000088	Cox5a	1415933_a_at				-0.1	0.62593799188178	-0.750388615663404
ENSMUSG00000000093	Tbx2	1422545_at	0.2	0.327515687187155	1.93228261525444	0.2	0.290328561597643	1.57025449701613
ENSMUSG00000000094	Tbx4	1456033_at				0.1	0.517077583994789	0.975090489970265
ENSMUSG00000000142	Axin2	1436845_at	-0.7	0.0216533630756519	-4.20684065680348	-0.7	0.0173227729687821	-4.27261214145731
ENSMUSG00000000149	Gna12	1455008_at				0.4	0.049241057426791	3.26506849404648
ENSMUSG00000000154	Slc22a18	1427531_a_at	-0.1	0.80184119071875	-0.653607431447189	-0.1	0.57047148728733	-0.86343463856041
ENSMUSG00000000159	Igsf5	1451407_at	-0.2	0.641735720656523	-1.11306785302108	-0.2	0.706413636894542	-0.589428841753514
ENSMUSG00000000168	Dlat	1426265_x_at				-0.3	0.219517956558214	-1.84740784917555
ENSMUSG00000000171	Sdhd	1428235_at				-0.3	0.320139729016239	-1.47326772203186
ENSMUSG00000000184	Ccnd2	1416122_at	-0.2	0.664921356685648	-1.04637841160537	-0.6	0.0482781342349962	-3.2869761868481
ENSMUSG00000000194	Gpr107	1454828_at				-0.2	0.156967830578485	-2.18658998309522
ENSMUSG00000000204	Slfn4	1427102_at	-1.6	0.215124507882704	-2.37597401366509	-1.1	0.0986841542124869	-2.62418328084019
ENSMUSG00000000216	Scnn1g	1419079_at	-0.2	0.476461638281036	-1.52747227573559	-0.2	0.460605282118954	-1.10280367180398
ENSMUSG00000000266	Mid2	1422216_at				-0.3	0.18150366807136	-2.04549859229624
ENSMUSG00000000275	Trim25	1425974_a_at	-0.3	0.533605438209966	-1.38549546887918			
ENSMUSG00000000278	Scpep1	1455908_a_at	0.2	0.245644249596391	2.22631514906346	0.6	0.0168990086386837	4.30861354960626
ENSMUSG00000000282	Mnt	1418192_at				0.5	0.0478665502161563	3.29434350054033
ENSMUSG00000000290	Itgb2	1450678_at	0.2	0.651967123478788	1.0910038167865	1.3	0.0171805962221003	4.28458392270517
ENSMUSG00000000295	Hddc2	1428823_at	-0.1	0.773829143584858	-0.735146327977431	-0.2	0.40582607960774	-1.23384117226355
ENSMUSG00000000296	Tpd52l1	1418412_at	-0.6	0.327070016149184	-1.933472527827	-1.0	0.0539674266854609	-3.17991618157098
ENSMUSG00000000301	Pemt	1450612_a_at				-0.1	0.400477933507641	-1.24860543891432
ENSMUSG00000000303	Cdh1	1448261_at				-0.1	0.757602863477099	-0.489115466220251
ENSMUSG00000000308	Ckmt1	1417089_a_at	0.2	0.782044839178409	0.705554346321947	-0.6	0.325182323795608	-1.45816426026732
ENSMUSG00000000317	Bcl6b	1418421_at				0.1	0.380135733418493	1.30402160361092
ENSMUSG00000000318	Clec10a	1419605_at	0.2	0.455833377084894	1.57449968218521	1.2	0.0587777237007608	3.0965712437743
ENSMUSG00000000339	Rtca	1424095_at	-0.1	0.838531146662605	-0.55527862304478	-0.2	0.347108366625257	-1.39567171540609
ENSMUSG00000000340	Dbt	1449118_at	-0.1	0.802466407073292	-0.651565526358272			
ENSMUSG00000000384	Tbrg4	1442793_s_at	-0.1	0.688352659584665	-0.98388868404699			
ENSMUSG00000000385	Tmprss2	1419154_at	0.4	0.584823376792773	1.26234039346205	-0.4	0.589062363259605	-0.826722608696872
ENSMUSG00000000386	Mx1	1451905_a_at	-0.3	0.833369795025969	-0.573643652749754	-1.2	0.01958992282747	-4.13649105868029
ENSMUSG00000000392	Fap	1417552_at	0.3	0.56804926128367	1.30265758324324	0.1	0.740926144326514	0.521102013544191
ENSMUSG00000000394	Gcg	1425952_a_at	-0.1	0.857992554030916	-0.507685081898562	-1.3	0.123669335563977	-2.40845655737597
ENSMUSG00000000399	Ndufa9	1416663_at				-0.3	0.304866016107609	-1.52094242088241
