Gene ID	Gene Name	Design Element	condition1.foldChange	condition1.pValue	'2 week' vs '0 week'.tStat	condition2.foldChange	condition2.pValue	'4 week' vs '0 week'.tStat	condition3.foldChange	condition3.pValue	'6 week' vs '0 week'.tStat
ENSMUSG00000000003	Pbsn	1449320_at				1.5	0.337629588766676	1.22182182835202			
ENSMUSG00000000028	Cdc45	1416575_at	0.3	0.0206314524240238	4.65405719370126	0.7	3.30657751810107E-4	7.5935654945082	0.7	3.57184784594555E-4	7.16091052980395
ENSMUSG00000000031	H19	1448194_a_at				0.4	0.13162696696827	1.96172356852394	0.5	0.0339536615244465	2.92696708620048
ENSMUSG00000000037	Scml2	1421514_a_at				-0.1	0.216235532287865	-1.58539806774597	0.1	0.625718703862217	0.624997185804602
ENSMUSG00000000049	Apoh	1416677_at	0.9	0.454672615502639	1.35162007542145				0.2	0.17971407100089	1.71519282764832
ENSMUSG00000000056	Narf	1451678_at				-0.5	5.12356869465466E-4	-7.01016731273735	-0.2	0.0438151487924529	-2.74079156946975
ENSMUSG00000000058	Cav2	1417327_at				-0.4	0.00529717865643928	-4.48887738124177	-0.3	0.0222913885779765	-3.23865996409313
ENSMUSG00000000078	Klf6	1433508_at	0.2	0.0878357755272322	2.99325668104166	0.3	0.179358151766244	1.72882705419353			
ENSMUSG00000000085	Scmh1	1426241_a_at				0.2	0.0835664084041594	2.29707096933714			
ENSMUSG00000000093	Tbx2	1422545_at	-0.2	0.264290379930327	-1.92933653084149	-0.2	0.0531128497547846	-2.62872876639674			
ENSMUSG00000000103	Zfy2	1449978_at				0.1	0.651681900773921	0.589005182143068	0.3	0.0422572447779843	2.76766153361514
ENSMUSG00000000120	Ngfr	1454903_at				-0.3	0.0262721538229861	-3.1671722795683			
ENSMUSG00000000126	Wnt9a	1436978_at				-0.1	0.268053335059411	-1.41494357443469			
ENSMUSG00000000127	Fer	1421729_a_at				0.1	0.139629424873068	1.91851518111309			
ENSMUSG00000000131	Xpo6	1422759_a_at				0.2	0.0246226161325934	3.21852867369175			
ENSMUSG00000000142	Axin2	1436845_at				0.2	0.0398914302842186	2.8447854984216	-0.2	0.25521046223881	-1.44234593554871
ENSMUSG00000000148	Brat1	1427316_s_at				-0.2	0.0243843512310642	-3.22576291045159	-0.2	0.0653327757188739	-2.45170422354752
ENSMUSG00000000149	Gna12	1455008_at				-0.3	0.0158889836704636	-3.55730704406274			
ENSMUSG00000000154	Slc22a18	1417809_at				-0.1	0.368968667923384	-1.14573733162422	-0.2	0.0811362686322451	-2.29772618042332
ENSMUSG00000000157	Itgb2l	1433053_at	0.1	0.549943520130335	1.09105372926426						
ENSMUSG00000000159	Igsf5	1451407_at				0.1	0.226162934416481	1.54964439248293	0.3	0.0424568065990352	2.76341796205469
ENSMUSG00000000167	Pih1d2	1429936_at				0.1	0.662811027265525	0.5694258879347			
ENSMUSG00000000168	Dlat	1426265_x_at				0.4	7.97821868029942E-4	6.44799442102966	0.3	0.0170241516482566	3.44154273492311
ENSMUSG00000000183	Fgf6	1427582_at				-0.1	0.529155792533444	-0.8103583703446			
ENSMUSG00000000184	Ccnd2	1416122_at				0.1	0.581346669690974	0.712872099167906	-0.2	0.250574629452833	-1.45751405020181
ENSMUSG00000000197	Nalcn	1457423_at				-0.2	0.0124074681593459	-3.75529314888108			
ENSMUSG00000000202	Btbd17	1428303_at							0.2	0.0812638287296872	2.29637605728178
ENSMUSG00000000204	Slfn4	1427102_at	-0.7	0.0141517294299893	-5.19687396757914	-0.2	0.194670695429321	-1.66587706196981	-0.4	0.0420445662307956	-2.77199274999026
ENSMUSG00000000215	Ins2	1422446_x_at				-0.1	0.194634618063139	-1.66608952200268			
ENSMUSG00000000216	Scnn1g	1419079_at				-0.1	0.471150142784293	-0.922751999386661			
ENSMUSG00000000244	Tspan32	1431289_at	0.1	0.549248306235847	1.09415706759229						
ENSMUSG00000000247	Lhx2	1418317_at				0.1	0.334268116195667	1.2307618123473	0.3	0.00895649290137907	3.94898945891551
ENSMUSG00000000253	Gmpr	1448530_at				-0.5	5.27596854849832E-4	-6.96506992030758	-0.6	0.00261298418913928	-5.02909247631624
ENSMUSG00000000263	Glra1	1422277_at				-0.2	0.0902666501527904	-2.23937493531996			
ENSMUSG00000000266	Mid2	1422216_at	0.1	0.541793259795879	1.1181133443583	0.2	0.0208286276320313	3.34959412676452			
ENSMUSG00000000276	Dgke	1436547_at				-0.2	0.0330546697012802	-2.98862505953409			
ENSMUSG00000000278	Scpep1	1426555_at				0.1	0.185643004376487	1.70218927690796	0.6	0.00134970265228808	5.67688735899084
ENSMUSG00000000282	Mnt	1418192_at				-0.2	0.0951338254934842	-2.20055538890801	0.1	0.628569101936503	0.620348288481867
ENSMUSG00000000290	Itgb2	1450678_at	0.6	0.050895125270412	3.59031633251597	0.9	0.00634928018347995	4.32616211545644	2.6	1.25935975827474E-5	12.4284321649904
ENSMUSG00000000295	Hddc2	1428823_at				0.3	0.0101729711638353	3.92090755100532	0.4	0.00523992678211139	4.40850731234126
ENSMUSG00000000296	Tpd52l1	1418412_at				-0.7	1.83934263575301E-4	-8.6087586289882	-0.8	8.92604472856214E-5	-8.94794906455612
ENSMUSG00000000303	Cdh1	1448261_at							-0.1	0.242415912683132	-1.484552243306
ENSMUSG00000000305	Cdh4	1456397_at				-0.1	0.267451229758288	-1.41673955377162			
ENSMUSG00000000308	Ckmt1	1432418_a_at				-0.2	0.0666305523406246	-2.46437560390812	-0.2	0.0614727504209515	-2.49619319770849
ENSMUSG00000000317	Bcl6b	1418421_at				-0.2	0.0548012610465447	-2.60654135656308			
ENSMUSG00000000318	Clec10a	1419605_at	0.5	0.0346561676941174	4.06644987557061	0.1	0.548972715560826	0.772600758974597	0.7	0.00614528785320927	4.26776641680188
ENSMUSG00000000320	Alox12	1422699_at				-0.3	0.0265409298631883	-3.15908870268691			
ENSMUSG00000000339	Rtca	1424095_at				-0.1	0.133457247905091	-1.95110834693793	0.1	0.357515939512412	1.16183336634577
ENSMUSG00000000340	Dbt	1449118_at	0.2	0.159056838354211	2.41519813885615	0.2	0.145078880159986	1.88839105385313	-0.1	0.652945682776225	-0.5779527795153
ENSMUSG00000000355	Mcts1	1425018_at				0.2	0.0394149187541181	2.85425221815867	0.2	0.0719448714962211	2.3835986846325
ENSMUSG00000000359	Rem1	1450158_at				-0.4	0.00925092973829055	-3.99578075610054			
ENSMUSG00000000365	Rnf17	1459275_at	0.1	0.515924400041052	1.18737435182191	-0.1	0.616813111295618	-0.650711343865687	0.1	0.28953694479312	1.33741712333497
ENSMUSG00000000378	Ccm2	1434648_a_at				0.3	0.0016725577000309	5.606758757749			
ENSMUSG00000000381	Wap	1448386_a_at				-0.2	0.0986805311435329	-2.17362279073056			
ENSMUSG00000000384	Tbrg4	1448795_a_at				0.1	0.532814550533705	0.803446715716618	0.2	0.0538542168149787	2.59404615806901
ENSMUSG00000000385	Tmprss2	1419154_at				0.3	0.0145993089147271	3.62272451419735			
ENSMUSG00000000386	Mx1	1451905_a_at				0.4	0.00409027034594192	4.73126150989226			
ENSMUSG00000000392	Fap	1417552_at	-0.3	0.168751177709367	-2.36097248248765	-0.8	1.62238595929808E-4	-8.8164908322494	-0.4	0.0460956908782507	-2.70576484957091
ENSMUSG00000000394	Gcg	1425952_a_at	-0.3	0.0145585769139611	-5.12110856276945	-0.8	1.17227056213272E-4	-9.46721217185518	-0.8	1.33940070728535E-4	-8.37916111756239
ENSMUSG00000000402	Egfl6	1419332_at				0.1	0.57019034469224	0.733007843309432			
ENSMUSG00000000409	Lck	1425396_a_at	0.4	0.0466956318049986	3.72183976379395	1.3	1.65742742943063E-4	8.78541843233356	1.8	8.43558507038532E-6	13.2067727829357
ENSMUSG00000000411	Tssk3	1418557_s_at				0.1	0.632148874703513	0.623710702456607	0.2	0.471708042152663	0.913785552200473
ENSMUSG00000000416	Cttnbp2	1435435_at	0.2	0.363219448514726	1.60000232649579	-0.2	0.290182785553528	-1.35070634899422	-0.8	0.0132995173908842	-3.62986918235723
ENSMUSG00000000420	Galnt1	1423237_at				0.1	0.177211712883892	1.73812632126584			
ENSMUSG00000000440	Pparg	1420715_a_at				-0.2	0.0567288724951902	-2.58069553705116			
ENSMUSG00000000486	Septin1	1449898_at				-0.1	0.304158359069608	-1.31087721068538	0.4	0.108015839875067	2.0922835622193
ENSMUSG00000000489	Pdgfb	1450414_at				-0.4	6.66220488658838E-4	-6.65301444787454			
ENSMUSG00000000530	Acvrl1	1451604_a_at				-0.5	1.9554283563512E-4	-8.48953736830984			
ENSMUSG00000000531	Tamalin	1441894_s_at	-0.3	0.061578639203532	-3.3672958391818	-0.6	2.14138739446946E-4	-8.32372803195225	-0.4	0.0187023741810776	-3.36751300507018
ENSMUSG00000000532	Acvr1b	1433725_at							-0.3	0.0149106803918859	-3.54546714099117
ENSMUSG00000000538	Tom1l2	1434385_at				-0.4	5.81262026380074E-4	-6.8310273560899	-0.4	9.35966264762868E-4	-6.05666491814263
ENSMUSG00000000544	Gpa33	1419330_a_at	-0.2	0.432600829892982	-1.41424341462881	0.2	0.123926328373449	2.00658664352373	0.3	0.580396605334616	0.706777329233215
ENSMUSG00000000552	Zfp385a	1418865_at				-0.2	0.0248601613941018	-3.21050073671973			
ENSMUSG00000000555	Itga5	1423267_s_at							-0.4	0.14704515155933	-1.86651903664186
ENSMUSG00000000561	Wdr77	1422844_a_at				0.4	7.24649881010902E-4	6.5560529023733	0.3	0.0247778419705896	3.15802534902083
ENSMUSG00000000567	Sox9	1424950_at				0.1	0.793238700612795	0.347205580531062	-0.6	0.00592675854654261	-4.30237230621877
ENSMUSG00000000568	Hnrnpd	1425142_a_at	-0.2	0.348616459450602	-1.63795556283447				0.4	0.0064571795273162	4.22675328984023
ENSMUSG00000000581	C1d	1448505_at				0.2	0.0547539662880975	2.60712398229165	0.2	0.0517676917012588	2.62189961221511
ENSMUSG00000000594	Gm2a	1448241_at				0.2	0.208893287927826	1.61131784537414	0.7	0.00157252887926231	5.52581003898042
ENSMUSG00000000600	Krit1	1448701_a_at	0.2	0.289382096143352	1.84207290664412	0.4	0.0012342125401519	5.93022679415467			
ENSMUSG00000000605	Clcn4	1415986_at							-0.2	0.126888859609646	-1.97582115560747
ENSMUSG00000000606	Vmn2r88	1427681_s_at				0.2	0.0406236607290584	2.82999915769086	0.2	0.0678774483040019	2.42472028902352
ENSMUSG00000000627	Sema4f	1419328_at				-0.2	0.142228010882309	-1.90408452774379			
ENSMUSG00000000628	Hk2	1422612_at	0.4	0.00776313359518523	6.38953441337767	1.4	2.6850374923225E-5	15.1021047823494	1.0	1.98052529660409E-4	7.87879562945165
ENSMUSG00000000631	Myo18a	1451422_at				0.1	0.239902643132605	1.50292642245463	0.1	0.619762877109988	0.635265289421826
ENSMUSG00000000632	Sez6	1420885_a_at				-0.2	0.0715971702944425	-2.41029766844647			
ENSMUSG00000000673	Haao	1432492_a_at	0.3	0.546647455069823	1.10483755343463	-0.2	0.044113241352145	-2.76663587376523	0.2	0.159718764358553	1.8056179682696
ENSMUSG00000000682	Cd52	1460218_at	0.6	0.105404723091366	2.8093663338648	0.8	0.00945518950982811	3.97777384730158	2.4	1.93484451874092E-5	11.3856377542705
ENSMUSG00000000686	Abhd15	1445506_at	-0.1	0.761394661617241	-0.614241758173434	-0.2	0.270397961921954	-1.40768009656696	-0.3	0.0402244936591524	-2.80458687072916
ENSMUSG00000000690	Hoxb6	1451660_a_at	-0.3	0.181728950643682	-2.2822012047641	-0.5	0.00334548650067681	-4.91868578756739	-1.0	0.00103859728275054	-5.94547577645585
ENSMUSG00000000693	Loxl3	1418269_at				-0.2	0.0250904027924748	-3.2034750876421			
ENSMUSG00000000706	Btn1a1	1419175_a_at	-0.1	0.414084391300169	-1.46373899529873	-0.2	0.260721253109792	-1.43818792024908	-0.2	0.36656845378528	-1.13975415764716
ENSMUSG00000000711	Rab5b	1437446_at				0.2	0.155480327980678	1.83556366381676	-0.4	0.00471324093359739	-4.49705794943778
ENSMUSG00000000730	Dnmt3l	1425035_s_at	-0.1	0.792151550259851	-0.549469699770095	-0.2	0.142102394717974	-1.90489484069862	0.2	0.113578482302018	2.0553498354355
ENSMUSG00000000731	Aire	1419241_a_at	-0.1	0.442208992875168	-1.38413798674417	-0.1	0.376969565240421	-1.1256709312604			
ENSMUSG00000000732	Icosl	1419212_at				-0.2	0.0166320342506607	-3.52095855441903			
ENSMUSG00000000738	Spg7	1427166_a_at							-0.2	0.029380115845505	-3.03265253900347
ENSMUSG00000000739	Sult5a1	1449816_at							0.2	0.067112844633669	2.43218295619936
ENSMUSG00000000743	Chmp1a	1451098_at				-0.3	0.00172734163789569	-5.57019864668687			
ENSMUSG00000000751	Rpa1	1437309_a_at				0.3	0.0118216859674388	3.79716644237941	0.4	9.98260765762905E-4	5.98953773723147
ENSMUSG00000000753	Serpinf1	1453724_a_at	0.2	0.342504107605287	1.66004988228926	-0.8	2.6850374923225E-5	-14.2657105027781			
ENSMUSG00000000766	Oprm1	1459402_at	-0.1	0.812197045968654	-0.507524605353169	-0.2	0.063261549720784	-2.50196654059359	0.1	0.240477839743216	1.49113638777672
ENSMUSG00000000776	Polr3d	1424565_at				0.1	0.149990985395989	1.86386403859556			
ENSMUSG00000000782	Tcf7	1433471_at				0.4	0.0069051315057006	4.25661265826065	0.6	0.0130256671615762	3.64489096051101
ENSMUSG00000000787	Ddx3x	1423043_s_at				0.2	0.070746914015926	2.42001501134306			
ENSMUSG00000000791	Il12rb1	1418166_at	0.3	0.252506574229479	1.98080182269142	0.5	0.011799061005812	3.79920721977578	1.2	2.87125434840988E-5	10.6326529451798
ENSMUSG00000000792	Slc5a5	1422113_at				-0.3	0.0116176799101686	-3.81152291128337			
ENSMUSG00000000794	Kcnn3	1421632_at				-0.2	0.170007143920798	-1.76866559045226			
ENSMUSG00000000805	Car4	1448949_at							-0.2	0.188198053500891	-1.67811520487223
